Callsign,CQZ,ValidFrom,ValidTo
KD6WW/VY0,1,2003-07-30T00:00:00+00:00,2003-07-31T23:59:59+00:00
WB1CBY/VE8,1,1993-05-01T00:00:00+00:00,1993-05-31T23:59:59+00:00
WB1CBY/VE8,1,1993-06-06T00:00:00+00:00,1993-07-08T23:59:59+00:00
CI8AW,1,,
CI8VFC,1,,
VE100VIMY/VE,1,2017-03-19T00:00:00+00:00,2017-03-25T23:59:59+00:00
VE100VIMY/VY,1,2017-03-12T00:00:00+00:00,2017-03-18T23:59:59+00:00
VY0M,1,2015-08-04T00:00:00+00:00,2015-08-11T23:59:59+00:00
VY9CYK,1,1989-04-01T00:00:00+00:00,
K9AJ/VY0,1,2005-09-02T00:00:00+00:00,2005-09-06T23:59:59+00:00
KD6WW/VY0,1,2005-09-02T00:00:00+00:00,2005-09-06T23:59:59+00:00
CZ8CM,1,1998-10-03T00:00:00+00:00,1998-10-03T23:59:59+00:00
CZ8CM,1,1988-10-03T00:00:00+00:00,1988-10-03T23:59:59+00:00
VG1JA,1,1991-02-01T00:00:00+00:00,1991-03-01T23:59:59+00:00
VG1JA,1,1994-06-28T00:00:00+00:00,1994-07-23T23:59:59+00:00
CI8BM,1,1988-02-15T00:00:00+00:00,1988-06-15T23:59:59+00:00
CH8MNP,1,1993-08-19T00:00:00+00:00,1993-08-26T23:59:59+00:00
VE2/N6AA,2,1995-11-25T00:00:00+00:00,1995-11-26T23:59:59+00:00
VE2UMS,2,1991-10-26T00:00:00+00:00,1991-10-27T23:59:59+00:00
VE3JM/VE2,2,,
VE2BQB,2,1991-01-01T00:00:00+00:00,1995-04-30T23:59:59+00:00
VE2/N6ZZ,2,1998-11-25T00:00:00+00:00,
VE2XY,2,,
VE3EXY/2,2,2000-09-01T00:00:00+00:00,
VE8HL,2,,
VE8GD,2,1986-01-01T00:00:00+00:00,
CF8CC,2,1978-10-28T00:00:00+00:00,
VG8/CH1PJ,2,1985-11-23T00:00:00+00:00,
VE2EDL,2,1978-01-01T00:00:00+00:00,1988-12-31T23:59:59+00:00
VE8RAC,2,1995-06-29T00:00:00+00:00,1995-07-03T23:59:59+00:00
VE3EY/2,2,,
VE3CWU/2,2,2012-10-25T00:00:00+00:00,2012-10-25T23:59:59+00:00
VC2X,2,2012-10-26T00:00:00+00:00,2012-10-29T23:59:59+00:00
VE8DX/2,2,2007-10-24T00:00:00+00:00,2007-10-26T23:59:59+00:00
VE8DX,2,1982-10-03T00:00:00+00:00,1987-04-14T23:59:59+00:00
WB1CBY/XL8,2,1994-05-21T00:00:00+00:00,1994-07-29T23:59:59+00:00
XL8/WB1CBY,2,1994-05-21T00:00:00+00:00,1994-07-29T23:59:59+00:00
WB1CBY/CI8,2,1994-05-21T00:00:00+00:00,1994-07-29T23:59:59+00:00
WB1CBY/VE8,2,1993-07-09T00:00:00+00:00,1993-09-03T23:59:59+00:00
UA3CR/VE8,2,1987-01-01T00:00:00+00:00,1987-12-31T23:59:59+00:00
VE8/UA3CR,2,1987-01-01T00:00:00+00:00,1987-12-31T23:59:59+00:00
CI8C,2,1988-02-15T00:00:00+00:00,1988-06-15T23:59:59+00:00
CI8CPU,2,1988-02-15T00:00:00+00:00,1988-06-15T23:59:59+00:00
CI8HO,2,1988-02-15T00:00:00+00:00,1988-06-15T23:59:59+00:00
CI8YQ,2,1988-02-15T00:00:00+00:00,1988-06-15T23:59:59+00:00
CI8CW,2,1988-02-15T00:00:00+00:00,1988-06-15T23:59:59+00:00
CI8CW/2,2,1988-02-15T00:00:00+00:00,1988-06-15T23:59:59+00:00
CI8UA,2,1988-02-15T00:00:00+00:00,1988-06-15T23:59:59+00:00
CI8CR,2,1988-02-15T00:00:00+00:00,1988-06-15T23:59:59+00:00
VE8CWI,2,1992-08-01T00:00:00+00:00,1992-08-31T23:59:59+00:00
VE2USA,2,1984-10-27T00:00:00+00:00,1984-10-29T23:59:59+00:00
VE2XAA,2,1999-11-24T00:00:00+00:00,1999-11-29T23:59:59+00:00
VE2XAA,2,2000-11-23T00:00:00+00:00,2000-11-27T23:59:59+00:00
VE2XAA,2,2001-10-23T00:00:00+00:00,2001-10-29T23:59:59+00:00
VA2KCE,2,1999-10-29T00:00:00+00:00,1999-10-31T23:59:59+00:00
VA2KCE/P,2,2001-10-24T00:00:00+00:00,2001-10-26T23:59:59+00:00
VE3UWC/VE8,2,1993-05-06T00:00:00+00:00,1993-10-31T23:59:59+00:00
VE8C,2,1998-08-19T00:00:00+00:00,1998-08-22T23:59:59+00:00
