DXCC,Name,Prefix,Cont,CQZ,ITUZ,Lat,Lon,Deleted,ValidFrom,ValidTo
1,Canada,VE,NA,5,9,45.00,-80.00,0,,
2,Abu Ail Is.,A1,AS,21,39,12.80,45.00,1,,1991-03-30T23:59:59+00:00
3,Afghanistan,YA,AS,21,40,34.40,69.20,0,,
4,Agalega & St. Brandon,3B7,AF,39,53,-10.40,56.60,0,,
5,Aland Islands,OH0,EU,15,18,60.20,20.00,0,,
6,Alaska,KL7,NA,1,1,61.20,-150.00,0,,
7,Albania,ZA,EU,15,28,41.30,19.80,0,,
8,Aldabra,VQ9/A,AF,39,53,-8.22,48.20,1,,1976-06-28T23:59:59+00:00
9,American Samoa,KH8,OC,32,62,-14.30,-170.80,0,,
10,Amsterdam & St. Paul Is.,FT5Z,AF,39,68,-37.70,77.60,0,,
11,Andaman & Nicobar Is.,VU4,AS,26,49,11.70,92.80,0,,
12,Anguilla,VP2E,NA,8,11,18.30,-63.00,0,,
13,Antarctica,CE9,AN,13,74,-65.00,-64.00,0,,
14,Armenia,EK,AS,21,29,40.18,44.52,0,,
15,Asiatic Russia,UA0,AS,17,30,55.00,83.00,0,,
16,N.Z. Subantarctic Is.,ZL9,OC,32,60,-52.54,169.15,0,,
17,Aves Island,YV0,NA,8,11,15.70,-63.70,0,,
18,Azerbaijan,4J,AS,21,29,40.40,49.88,0,,
19,Bajo Nuevo,HK0,NA,8,11,15.88,-78.63,1,,1981-09-16T23:59:59+00:00
20,Baker & Howland Islands,KH1,OC,31,61,0.50,-176.00,0,,
21,Balearic Islands,EA6,EU,14,37,39.50,2.60,0,,
22,Palau,T8,OC,27,64,9.50,138.20,0,,
23,Blenheim Reef,1B,AF,39,41,-7.00,72.00,1,1967-05-04T00:00:00+00:00,1975-06-30T23:59:59+00:00
24,Bouvet,3Y/B,AF,38,67,-54.50,3.40,0,,
25,British North Borneo,ZC5,OC,28,54,5.80,118.10,1,,1963-09-15T23:59:59+00:00
26,British Somaliland,VQ6,AF,37,48,2.10,45.40,1,,1960-06-30T23:59:59+00:00
27,Belarus,EU,EU,16,29,53.90,27.57,0,,
28,Canal Zone,KZ5,NA,7,11,9.00,-79.50,1,,1979-09-30T23:59:59+00:00
29,Canary Islands,EA8,AF,33,36,28.40,-15.30,0,,
30,Celebe & Molucca Is.,PK6,OC,28,54,-3.00,120.00,1,,1963-04-30T23:59:59+00:00
31,Central Kiribati,T31,OC,31,62,-2.80,-171.70,0,,
32,Ceuta & Melilla,EA9,AF,33,37,35.60,-3.00,0,,
33,Chagos Islands,VQ9,AF,39,41,-7.30,72.40,0,,
34,Chatham Islands,ZL7,OC,32,60,-44.00,-176.50,0,,
35,Christmas Island,VK9X,OC,29,54,-10.50,105.70,0,,
36,Clipperton Island,FO/C,NA,7,10,10.30,-109.20,0,,
37,Cocos Island,TI9,NA,7,11,5.60,-87.00,0,,
38,Cocos (Keeling) Islands,VK9C,OC,29,54,-12.20,96.80,0,,
39,Comoros,FH8,AF,39,53,-11.80,43.70,1,,1975-07-05T23:59:59+00:00
40,Crete,SV9,EU,20,28,35.40,25.20,0,,
41,Crozet Island,FT5/W,AF,39,68,-46.43,51.86,0,,
42,Damao Diu,CR8/D,AS,22,41,20.71,70.98,1,,1961-12-31T23:59:59+00:00
43,Desecheo Island,KP5,NA,8,11,18.30,-67.50,0,1979-03-01T00:00:00+00:00,
44,Desroches,VQ9/D,AF,39,53,-5.67,53.65,1,,1976-06-28T23:59:59+00:00
45,Dodecanese,SV5,EU,20,28,36.40,28.20,0,,
46,East Malaysia,9M6,OC,28,54,3.20,101.60,0,1963-09-16T00:00:00+00:00,
47,Easter Island,CE0Y,SA,12,63,-27.10,-109.40,0,,
48,Eastern Kiribati,T32,OC,31,61,1.90,-157.40,0,,
49,Equatorial Guinea,3C,AF,36,47,1.80,9.80,0,,
50,Mexico,XE,NA,6,10,19.40,-99.10,0,,
51,Eritrea,E3,AF,37,48,15.30,38.90,0,,
52,Estonia,ES,EU,15,29,59.44,24.75,0,,
53,Ethiopia,ET,AF,37,48,9.00,38.70,0,,
54,European Russia,UA,EU,16,29,55.80,37.60,0,,
55,Farquhar,VQ9/F,AF,39,53,-10.17,51.17,1,,1976-06-28T23:59:59+00:00
56,Fernando de Noronha,PY0F,SA,11,13,-3.90,-32.40,0,,
57,Fr. Equatorial Africa,FQ8,AF,36,47,12.10,15.00,1,,1960-08-16T23:59:59+00:00
58,French Indo-China,FI8,AS,26,49,11.70,104.80,1,,1950-12-20T23:59:59+00:00
59,French West Africa,FF,AF,35,46,6.50,2.60,1,,1960-08-06T23:59:59+00:00
60,Bahamas,C6A,NA,8,11,24.25,-76.00,0,,
61,Franz Josef Land,R1F,EU,40,75,80.00,53.00,0,,
62,Barbados,8P,NA,8,11,13.10,-59.60,0,,
63,French Guiana,FY,SA,9,12,4.90,-52.30,0,,
64,Bermuda,VP9,NA,5,11,32.30,-64.78,0,,
65,British Virgin Islands,VP2V,NA,8,11,18.40,-64.60,0,,
66,Belize,V3,NA,7,11,17.30,-88.80,0,,
67,French India,FN8,AS,22,41,16.45,82.16,1,,1954-10-31T23:59:59+00:00
68,Kuwait/Saudi Arabia Neut. Zone,8Z5,AS,21,39,29.00,47.40,1,,1969-12-14T23:59:59+00:00
69,Cayman Islands,ZF,NA,8,11,19.50,-81.20,0,,
70,Cuba,CO,NA,8,11,21.50,-80.00,0,,
71,Galapagos Islands,HC8,SA,10,12,-0.50,-90.50,0,,
72,Dominican Republic,HI,NA,8,11,18.50,-70.00,0,,
74,El Salvador,YS,NA,7,11,13.70,-89.20,0,,
75,Georgia,4L,AS,21,29,41.72,44.78,0,,
76,Guatemala,TG,NA,7,11,14.60,-90.50,0,,
77,Grenada,J3,NA,8,11,12.00,-61.80,0,,
78,Haiti,HH,NA,8,11,18.50,-72.30,0,,
79,Guadeloupe,FG,NA,8,11,16.00,-61.70,0,,
80,Honduras,HR,NA,7,11,14.10,-87.20,0,,
81,Germany,DL/D,EU,14,28,51.00,10.00,1,,1973-09-16T23:59:59+00:00
82,Jamaica,6Y,NA,8,11,18.00,-76.80,0,,
84,Martinique,FM,NA,8,11,14.60,-61.00,0,,
85,Bonaire Curacao (Neth Antilles),PJ2/D,SA,9,11,12.10,-69.00,1,,2010-10-09T04:00:00+00:00
86,Nicaragua,YN,NA,7,11,12.00,-86.00,0,,
88,Panama,HP,NA,7,11,9.00,-79.50,0,,
89,Turks & Caicos Islands,VP5,NA,8,11,21.80,-72.40,0,,
90,Trinidad & Tobago,9Y,SA,9,11,10.50,-61.30,0,,
91,Aruba,P4,SA,9,11,12.50,-70.00,0,1986-01-01T00:00:00+00:00,
93,Geyser Reef,1G,AF,39,53,-12.24,46.25,1,1967-05-04T00:00:00+00:00,1978-02-28T23:59:59+00:00
94,Antigua & Barbuda,V2,NA,8,11,17.10,-61.80,0,,
95,Dominica,J7,NA,8,11,15.40,-61.30,0,,
96,Montserrat,VP2M,NA,8,11,16.80,-62.20,0,,
97,St. Lucia,J6,NA,8,11,13.90,-61.00,0,,
98,St. Vincent,J8,NA,8,11,13.30,-61.30,0,,
99,Glorioso Islands,FT/G,AF,39,53,-11.58,47.30,0,1960-06-25T00:00:00+00:00,
100,Argentina,LU,SA,13,14,-34.60,-58.40,0,,
101,Goa,CR8/G,AS,22,41,15.31,73.56,1,,1961-12-31T23:59:59+00:00
102,Gold Coast Togoland,ZD4,AF,35,46,5.50,-0.20,1,,1957-03-05T23:59:59+00:00
103,Guam,KH2,OC,27,64,13.50,144.80,0,,
104,Bolivia,CP,SA,10,12,-17.00,-65.00,0,,
105,Guantanamo Bay,KG4,NA,8,11,19.90,-75.20,0,,
106,Guernsey,GU,EU,14,27,49.50,-2.70,0,,
107,Guinea,3XA,AF,35,46,9.50,-13.70,0,,
108,Brazil,PY,SA,11,15,-23.00,-43.20,0,,
109,Guinea-Bissau,J5,AF,35,46,11.90,-15.60,0,,
110,Hawaii,KH6,OC,31,61,21.30,-157.90,0,,
111,Heard Island,VK0H,AF,39,68,-53.03,73.39,0,,
112,Chile,CE,SA,12,14,-30.00,-71.00,0,,
113,Ifni,EA9/I,AF,33,37,35.60,-3.00,1,,1969-05-13T23:59:59+00:00
114,Isle of Man,GD,EU,14,27,54.30,-4.50,0,,
115,Italian Somaliland,I5,AF,37,48,2.10,45.40,1,,1960-06-30T23:59:59+00:00
116,Colombia,HK,SA,9,12,4.60,-74.10,0,,
117,ITU HQ,4U1ITU,EU,14,28,46.22,6.14,0,,
118,Jan Mayen,JX,EU,40,18,71.00,-8.30,0,,
119,Java,PK1,OC,28,54,-6.20,106.80,1,,1963-04-30T23:59:59+00:00
120,Ecuador,HC,SA,10,12,-0.20,-78.00,0,,
122,Jersey,GJ,EU,14,27,49.30,-2.20,0,,
123,Johnston Island,KH3,OC,31,61,16.80,-169.50,0,,
124,Juan de Nova & Europa,FT/J,AF,39,53,-17.05,42.72,0,1960-06-25T00:00:00+00:00,
125,Juan Fernandez Islands,CE0Z,SA,12,14,-33.60,-78.80,0,,
126,Kaliningrad,UA2,EU,15,29,54.72,20.52,0,,
127,Kamaran Is.,VS9K,AS,21,39,15.21,41.40,1,,1982-03-10T23:59:59+00:00
128,Karelo-Finnish Rep.,UN1,EU,16,19,62.50,35.00,1,,1960-06-30T23:59:59+00:00
129,Guyana,8R,SA,9,12,6.80,-58.20,0,,
130,Kazakhstan,UN,AS,17,30,51.17,71.43,0,,
131,Kerguelen Islands,FT5/X,AF,39,68,-49.35,70.22,0,,
132,Paraguay,ZP,SA,11,14,-25.30,-57.70,0,,
133,Kermadec Islands,ZL8,OC,32,60,-30.00,-177.90,0,,
134,Kingman Reef,KH5K,OC,31,61,6.40,-162.40,1,,2016-03-28T23:59:59+00:00
135,Kyrgyzstan,EX,AS,17,30,42.87,74.61,0,,
136,Peru,OA,SA,10,12,-10.00,-76.00,0,,
137,Republic of Korea,HL,AS,25,44,37.50,127.00,0,,
138,Kure Island,KH7K,OC,31,61,28.40,-178.40,0,,
139,Kuria Muria I.,VS9H,AS,21,39,17.50,56.00,1,,1967-11-29T23:59:59+00:00
140,Suriname,PZ,SA,9,12,4.00,-56.00,0,,
141,Falkland Islands,VP8,SA,13,16,-51.70,-57.90,0,,
142,Lakshadweep Islands,VU7,AS,22,41,10.00,73.00,0,,
143,Laos,XW,AS,26,49,18.00,102.60,0,,
144,Uruguay,CX,SA,13,14,-33.00,-56.00,0,,
145,Latvia,YL,EU,15,29,56.95,24.11,0,,
146,Lithuania,LY,EU,15,29,54.68,25.28,0,,
147,Lord Howe Island,VK9L,OC,30,60,-31.60,159.10,0,,
148,Venezuela,YV,SA,9,12,10.50,-67.00,0,,
149,Azores,CU,EU,14,36,37.70,-25.70,0,,
150,Australia,VK,OC,30,59,-22.00,135.00,0,,
151,Malyj Vysotskij Island,R1M,EU,16,29,60.40,28.40,1,,2012-02-17T23:59:59+00:00
152,Macao,XX9,AS,24,44,22.20,113.60,0,,
153,Macquarie Island,VK0M,OC,30,60,-54.70,158.80,0,,
154,Yemen Arab Rep.,4W,AS,21,39,12.80,45.00,1,,1990-05-21T23:59:59+00:00
155,Malaya,VS2,AS,28,54,1.30,103.80,1,,1963-09-15T23:59:59+00:00
157,Nauru,C21,OC,31,65,-0.50,166.90,0,,
158,Vanuatu,YJ,OC,32,56,-17.70,168.30,0,,
159,Maldives,8Q,AS,22,41,4.40,73.40,0,,
160,Tonga,A3,OC,32,62,-21.10,-175.20,0,,
161,Malpelo Island,HK0/M,SA,9,12,4.00,-81.10,0,,
162,New Caledonia,FK,OC,32,56,-21.50,165.50,0,,
