Prefix,Exact,DXCC,CQZ,ITUZ,Cont,Lat,Lon,ValidFrom,ValidTo
BV9S,0,247,26,0,,,,,
3D2,0,176,32,0,,,,,
3D2/C,0,489,32,0,,,,,
3D2/R,0,460,32,0,,,,,
H2,0,215,20,0,,,,,
6X,0,438,39,0,,,,,
5W,0,190,32,0,,,,,
9L,0,458,35,0,,,,,
9N,0,369,22,0,,,,,
S6,0,381,28,0,,,,,
9Y,0,90,9,0,,,,,
9Z,0,90,9,0,,,,,
A3,0,160,32,0,,,,,
A5,0,306,22,0,,,,,
A7,0,376,21,0,,,,,
BV,0,386,24,0,,,,,
BM,0,386,24,0,,,,,
BN,0,386,24,0,,,,,
BO,0,386,24,0,,,,,
BP,0,386,24,0,,,,,
BQ,0,386,24,0,,,,,
BU,0,386,24,0,,,,,
BW,0,386,24,0,,,,,
BX,0,386,24,0,,,,,
BY,0,318,24,0,,,,,
3H,0,318,24,0,,,,,
3I,0,318,24,0,,,,,
3J,0,318,24,0,,,,,
3K,0,318,24,0,,,,,
3L,0,318,24,0,,,,,
3M,0,318,24,0,,,,,
3N,0,318,24,0,,,,,
3O,0,318,24,0,,,,,
3P,0,318,24,0,,,,,
3Q,0,318,24,0,,,,,
3R,0,318,24,0,,,,,
3S,0,318,24,0,,,,,
3T,0,318,24,0,,,,,
3U,0,318,24,0,,,,,
B1,0,318,24,0,,,,,
B2,0,318,24,0,,,,,
B3,0,318,24,0,,,,,
B4,0,318,24,0,,,,,
B5,0,318,24,0,,,,,
B6,0,318,24,0,,,,,
B7,0,318,24,0,,,,,
B8,0,318,24,0,,,,,
BA,0,318,24,0,,,,,
BD,0,318,24,0,,,,,
BG,0,318,24,0,,,,,
BH,0,318,24,0,,,,,
BI,0,318,24,0,,,,,
BL,0,318,24,0,,,,,
BT,0,318,24,0,,,,,
BZ,0,318,24,0,,,,,
XS,0,318,24,0,,,,,
CE,0,112,12,0,,,,,
3G,0,112,12,0,,,,,
CA,0,112,12,0,,,,,
CB,0,112,12,0,,,,,
CC,0,112,12,0,,,,,
CD,0,112,12,0,,,,,
XQ,0,112,12,0,,,,,
XR,0,112,12,0,,,,,
CE0Y,0,47,12,0,,,,,
3G0,0,47,12,0,,,,,
CA0,0,47,12,0,,,,,
CB0,0,47,12,0,,,,,
CC0,0,47,12,0,,,,,
CD0,0,47,12,0,,,,,
CE0,0,47,12,0,,,,,
XQ0,0,47,12,0,,,,,
XR0,0,47,12,0,,,,,
CE0Z,0,125,12,0,,,,,
3G0Z,0,125,12,0,,,,,
CA0Z,0,125,12,0,,,,,
CB0Z,0,125,12,0,,,,,
CC0Z,0,125,12,0,,,,,
CD0Z,0,125,12,0,,,,,
CE0I,0,125,12,0,,,,,
XQ0Z,0,125,12,0,,,,,
XR0Z,0,125,12,0,,,,,
AX0,0,13,13,0,,,,,
LU1Z,0,13,13,0,,,,,
CM,0,70,8,0,,,,,
CL,0,70,8,0,,,,,
CO,0,70,8,0,,,,,
T4,0,70,8,0,,,,,
5C,0,446,33,0,,,,,
5D,0,446,33,0,,,,,
5E,0,446,33,0,,,,,
5F,0,446,33,0,,,,,
5G,0,446,33,0,,,,,
CP,0,104,10,0,,,,,
CT,0,272,14,0,,,,,
CQ,0,272,14,0,,,,,
CS,0,272,14,0,,,,,
CT3,0,256,33,0,,,,,
CQ3,0,256,33,0,,,,,
CQ9,0,256,33,0,,,,,
CS3,0,256,33,0,,,,,
CS9,0,256,33,0,,,,,
CT9,0,256,33,0,,,,,
CX,0,144,13,0,,,,,
CV,0,144,13,0,,,,,
CW,0,144,13,0,,,,,
DL,0,230,14,0,,,,,
DA,0,230,14,0,,,,,
DB,0,230,14,0,,,,,
DC,0,230,14,0,,,,,
DD,0,230,14,0,,,,,
DF,0,230,14,0,,,,,
DG,0,230,14,0,,,,,
DH,0,230,14,0,,,,,
DI,0,230,14,0,,,,,
DJ,0,230,14,0,,,,,
DK,0,230,14,0,,,,,
DM,0,230,14,0,,,,,
DN,0,230,14,0,,,,,
DO,0,230,14,0,,,,,
DP,0,230,14,0,,,,,
DQ,0,230,14,0,,,,,
DR,0,230,14,0,,,,,
DU,0,375,27,0,,,,,
4D,0,375,27,0,,,,,
4E,0,375,27,0,,,,,
4F,0,375,27,0,,,,,
4G,0,375,27,0,,,,,
4H,0,375,27,0,,,,,
4I,0,375,27,0,,,,,
DV,0,375,27,0,,,,,
DW,0,375,27,0,,,,,
DX,0,375,27,0,,,,,
DY,0,375,27,0,,,,,
DZ,0,375,27,0,,,,,
E7,0,501,15,0,,,,,
T9,0,501,15,0,,,,,
EA,0,281,14,0,,,,,
AM,0,281,14,0,,,,,
AN,0,281,14,0,,,,,
AO,0,281,14,0,,,,,
EB,0,281,14,0,,,,,
EC,0,281,14,0,,,,,
ED,0,281,14,0,,,,,
EE,0,281,14,0,,,,,
EF,0,281,14,0,,,,,
EG,0,281,14,0,,,,,
EH,0,281,14,0,,,,,
AM6,0,21,14,0,,,,,
AN6,0,21,14,0,,,,,
AO6,0,21,14,0,,,,,
EB6,0,21,14,0,,,,,
EC6,0,21,14,0,,,,,
ED6,0,21,14,0,,,,,
EE6,0,21,14,0,,,,,
EF6,0,21,14,0,,,,,
EG6,0,21,14,0,,,,,
EH6,0,21,14,0,,,,,
EA8,0,29,33,0,,,,,
AM8,0,29,33,0,,,,,
AN8,0,29,33,0,,,,,
AO8,0,29,33,0,,,,,
EB8,0,29,33,0,,,,,
EC8,0,29,33,0,,,,,
ED8,0,29,33,0,,,,,
EE8,0,29,33,0,,,,,
EF8,0,29,33,0,,,,,
EG8,0,29,33,0,,,,,
EH8,0,29,33,0,,,,,
EA9,0,32,33,0,,,,,
AM9,0,32,33,0,,,,,
AN9,0,32,33,0,,,,,
AO9,0,32,33,0,,,,,
EB9,0,32,33,0,,,,,
EC9,0,32,33,0,,,,,
ED9,0,32,33,0,,,,,
EE9,0,32,33,0,,,,,
EF9,0,32,33,0,,,,,
EG9,0,32,33,0,,,,,
EH9,0,32,33,0,,,,,
EI,0,245,14,0,,,,,
EJ,0,245,14,0,,,,,
EL,0,434,35,0,,,,,
5L,0,434,35,0,,,,,
5M,0,434,35,0,,,,,
6Z,0,434,35,0,,,,,
A8,0,434,35,0,,,,,
EP,0,330,21,0,,,,,
9B,0,330,21,0,,,,,
9C,0,330,21,0,,,,,
9D,0,330,21,0,,,,,
EQ,0,330,21,0,,,,,
ET,0,53,37,0,,,,,
9E,0,53,37,0,,,,,
9F,0,53,37,0,,,,,
F,0,227,14,0,,,,,
HW,0,227,14,0,,,,,
HX,0,227,14,0,,,,,
HY,0,227,14,0,,,,,
TH,0,227,14,0,,,,,
TM,0,227,14,0,,,,,
TP,0,227,14,0,,,,,
TQ,0,227,14,0,,,,,
TV,0,227,14,0,,,,,
TW,0,227,14,0,,,,,
FG,0,79,8,0,,,,,
FJ,0,516,8,0,,,,2007-12-14T00:00:00+00:00,
FK,0,162,32,0,,,,,
FK/C,0,512,30,0,,,,,
FM,0,84,8,0,,,,,
FO,0,175,32,0,,,,,
FO/A,0,508,32,0,,,,,
FO/C,0,36,7,0,,,,,
FO/M,0,509,31,0,,,,,
